IncidentName,CalendarYear,POOJurisdictionalUnit,Fire Type Protection Type,Fire Type,Fire Cause,Size Class,IncidentSize,FireDiscoveryDateTime
FENWICK,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/29/1979
FOLSOM,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/20/1979
FROSTBITE,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/31/1979
GALLATIN,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,F,4577,7/1/1979
GARNET,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/10/1979
LAVA,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/14/1979
LEHARDY,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/19/1979
LEWIS,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/10/1979
LODGE,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/6/1979
MALLARD CR,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/15/1979
MCBRIDE,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/7/1979
MIRROR,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/20/1979
MOSS,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/21/1979
MYSTIC,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/10/1979
NARROW,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,7/21/1979
OTTER,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/20/1979
PEBBLE 24,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/28/1979
PETRIFIED,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/20/1979
PIKA,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/28/1979
PITCHSTONE,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/12/1979
RAINY,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,1,7/19/1979
RED,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/6/1979
SLOUGH,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/25/1979
SNAKE,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/30/1979
SOLFATARA,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/20/1979
SPECIMEN,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/30/1979
SPIREA,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/6/1979
SPRING CRK,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/12/1979
STONE,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/20/1979
SURPRISE,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/7/1979
WASHBURN,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,2670,7/20/1979
WOLF,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/17/1979
ASTER,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/4/1980
BUFFALO,1980,WYYNP,Suppressed: Origin on NPS land; protected other federal agency,11,Natural,A,0.1,6/28/1980
CACHE,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/19/1980
CORRAL,1980,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/8/1980
COUGAR,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/25/1980
CYGNET,1980,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/23/1980
DOUGLAS,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/25/1980
EVERTS,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,10/19/1980
FERRIS,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/25/1980
FOLSOM,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,4,7/25/1980
GIFFORD,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/23/1980
HIDDEN,1980,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/8/1980
MAE WEST,1980,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/25/1980
MAGPIE,1980,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/24/1980
OXBOW,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/29/1980
PHANTOM,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/31/1980
PICNIC,1980,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/18/1980
PITCHSTONE,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/25/1980
RAVEN,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/23/1980
RIDGE,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/12/1980
SLOUGH,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/25/1980
TERRACE,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1980
TONGUE,1980,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/13/1980
TURBID,1980,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/24/1980
7-Mile,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,N,NA,8/14/1981
ARNICA,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/8/1981
ASTER,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/10/1981
ASTRINGENT,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,1313,8/31/1981
BASIN,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,249,8/11/1981
BERYL,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/26/1981
BIRCH,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/3/1981
BOUNDARY,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/18/1981
BUFFALO,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,5/5/1981
CANYON,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/5/1981
CASCADE,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,1369,8/26/1981
CLEAR,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/27/1981
Continental,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,1178,9/1/1981
COYOTE,1981,WYYNP,Suppressed: Origin on NPS land; protected other federal agency,11,Natural,A,0.1,7/13/1981
CREEK,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,3,8/26/1981
DELACY,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/1/1981
DIVIDE,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,128,8/14/1981
DUCK,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/19/1981
FOREST LK,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,10571,8/29/1981
FOUNTAIN,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/26/1981
GARDINER,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,5/31/1981
GNEISS,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,,420,8/23/1981
GRANT,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,9/3/1981
GRIZZLY,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/19/1981
HOLMES,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/19/1981
Howard Eaton,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/23/1981
HUCKLEBERR,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1981
IMPERIAL,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/20/1981
LEWIS,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/10/1981
MOUNTAIN,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,7/26/1981
NUTHATCH,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/26/1981
OBSERVATIO,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,4,8/26/1981
OUZEL,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/8/1981
PAYCHECK,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/25/1981
PELICAN,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/20/1981
PHANTOM,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/25/1981
PITCHSTONE,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/7/1981
PLATEAU,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/24/1981
PROPOSITIO,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,3,8/25/1981
RIDGE,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/11/1981
SEDGE,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,4,9/4/1981
SHELF,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/5/1981
SHOSHONE,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/20/1981
SLOUGH CRK,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/8/1981
SMOKEJUMPR,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,1,8/19/1981
SOUTH,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,1,9/13/1981
Specimen,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/24/1981
Spruce Forest,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/22/1981
STONE,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/14/1981
SULPHUR,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,4370,8/2/1981
SUMMIT,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/4/1981
SUPRISE,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/19/1981
SWAN,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/26/1981
TEPEE,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/2/1981
THUMB,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/25/1981
TOWER,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/19/1981
TURBID,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,C,15,9/2/1981
TWO OCEAN,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,4310,8/31/1981
URSUS,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,1,8/27/1981
WEST,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/25/1981
WINTER,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/15/1981
WITCH,1981,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,3962,8/25/1981
WOLVERINE,1981,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/26/1981
ABIATHAR,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/28/1982
BAUM,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/16/1982
BISCUIT,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/15/1982
BREEZE,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/8/1982
CAMP,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/1/1982
COLUMBINE,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/11/1982
CRYSTAL,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/23/1982
EVERTS,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/8/1982
GRANT,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/7/1982
GREBE,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/15/1982
IRIS,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/17/1982
LONE,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,5/27/1982
MUD,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/20/1982
NARROW,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/18/1982
OTTER,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/21/1982
SLOUGH,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/18/1982
SNAKE,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/10/1982
SUMMIT,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1982
WEST,1982,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/14/1982
WOLFE,1982,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/5/1982
CHICKEN,1983,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1983
COTTONWOOD,1983,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.2,9/15/1983
ELK,1983,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/10/1983
FAWN,1983,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/23/1983
FISHING,1983,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/30/1983
HOWELL,1983,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/8/1983
PICNIC,1983,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,5/2/1983
BUFFALO,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/7/1984
CANYON,1984,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/5/1984
DEEP,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/5/1984
HOT SPRING,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/24/1984
JOSEPH,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/5/1984
LEWIS,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/29/1984
LOVELY,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/29/1984
PELICAN,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/26/1984
RIDDLE,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/11/1984
SOLUTION,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/11/1984
SPECIMEN,1984,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/6/1984
WILLOW,1984,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/10/1984
AGATE,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/28/1985
ASTRINGE,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/18/1985
BALD KNOB,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
BEAR,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/27/1985
BROAD,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/8/1985
BUFFALO,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/9/1985
CABIN,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
CAMPANULA,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/23/1985
CASCADE,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/21/1985
CHITTENDEN,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,0.3,8/26/1985
CHRISTMAS,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.2,8/26/1985
CLOVER,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/13/1985
CREEK,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/10/1985
CUB,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/10/1985
DRUID,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/28/1985
FERN,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/23/1985
FOX,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.2,9/8/1985
GRANT,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/19/1985
HAREBELL,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/26/1985
HELLROARIN,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/23/1985
JUNCTION,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,6/20/1985
KLOOP,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/25/1985
LAMAR,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/10/1985
LOOKOUT,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
MADISON,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/24/1985
MEADOW,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/13/1985
MIRROR,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.2,6/23/1985
MIST,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/9/1985
MUDKETTLE,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/29/1985
MUSHPOT,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/29/1985
NORRIS,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/3/1985
OTTER,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.2,6/20/1985
PASS,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
PEBBLE,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/6/1985
PELICAN,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
RAVEN,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
RIDDLE,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/1/1985
SADDLE,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/20/1985
SEDGE,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/27/1985
SLOUGH,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/27/1985
SOLFATERA,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/28/1985
SOLUTION,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,C,30,8/27/1985
SPRINGS,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
STONETOP,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/27/1985
SURPRISE,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/30/1985
TURBID,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/10/1985
UPPER RAV,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
VERMILION,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.2,8/26/1985
VISITOR,1985,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/18/1985
WAPITI,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/1/1985
WHITE,1985,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/27/1985
ABIATHAR,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/26/1986
BACON,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/28/1986
BEACH,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/28/1986
BROAD,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1986
BUFFALO,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1986
BUNSEN,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/1/1986
CATHEDRAL,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1986
CRAG,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/27/1986
CREEK,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1986
EAST GATE,1986,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/8/1986
EVERTS,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/29/1986
FERN,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/27/1986
GRAYLING,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/22/1986
GULL,1986,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/15/1986
HEART,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/27/1986
LAMAR,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,0.3,6/27/1986
LAVA,1986,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/4/1986
LOVELY,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1986
MIRROR,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/14/1986
MIST,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/14/1986
NATURAL BR,1986,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/4/1986
OXBOW,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1986
PATROL,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1986
PELICAN,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/25/1986
PROMINTORY,1986,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,0.5,8/28/1986
QUEENS,1986,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,1,7/4/1986
RAVEN,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1986
SNAKE,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/9/1986
SOUTH ARM,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/18/1986
TIM,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/10/1986
TIMOTHY,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/27/1986
WHITE,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/9/1986
WRONG,1986,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,0.4,7/1/1986
A LOOP,1987,WYYNP,Natural Out: Origin on NPS land; protected by NPS,21,Human,A,0.1,8/6/1987
ARROW,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,1.5,9/25/1987
ASTRINGENT,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/23/1987
BEAVER CR,1987,WYYNP,Suppressed:  Origin on NPS land; not full or limited suppression response,14,Human,B,4,9/13/1987
BROAD,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/12/1987
CENTRAL,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/3/1987
COLUMBINE,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
COYOTE,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/13/1987
CYGNET,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/1/1987
FIREHOLE,1987,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/7/1987
GNEISS,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,0.5,6/30/1987
GROUSE,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
HEART RVR,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,6.2,8/12/1987
KNOWLES,1987,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,2/27/1987
LAKE BUTTE,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
LOPEZ,1987,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/10/1987
MIRROR,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
MIST,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/15/1987
MUD POT,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/1/1987
PELICAN SP,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
PELICAN VA,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
PLATEAU,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,0.5,7/4/1987
POLECAT,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,812,8/7/1987
SNAKE,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/1/1987
SO ASTRING,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/23/1987
TERN,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/2/1987
